Compound,Primary Cell Line Name,ID,IC50 (uM)
AZD6244,UM-UC-3,222,7.943282347242816
AZD6244,BFTC-909,10873,7.943282347242816
AZD6244,RT-112,2203,3.9810717055349722
AZD6244,SK-N-DZ,1201,7.943282347242816
AZD6244,SNU-182,6202,7.943282347242816
AZD6244,GB-1,8364,7.943282347242816
AZD6244,KNS-62,2963,7.943282347242816
AZD6244,RPMI-8402,1643,7.943282347242816
AZD6244,NCI-H1694,5507,7.943282347242816
AZD6244,NCI-H1048,2459,7.943282347242816
AZD6244,IA-LM,3616,7.943282347242816
AZD6244,SU-DHL-6,5623,7.943282347242816
AZD6244,MOG-G-CCM,4527,7.943282347242816
AZD6244,HDQ-P1,6682,7.943282347242816
AZD6244,HCT-15,7577,7.943282347242816
AZD6244,BxPC-3,812,7.943282347242816
AZD6244,P12-ICHIKAWA,1848,7.943282347242816
AZD6244,JM1,8481,7.943282347242816
AZD6244,HGC-27,10198,7.943282347242816
AZD6244,NCI-H1693,6566,7.943282347242816
AZD6244,Raji,1224,7.943282347242816
AZD6244,NCI-N87,2760,7.943282347242816
AZD6244,SJRH30,10614,7.943282347242816
AZD6244,NCI-H23,8458,7.943282347242816
AZD6244,MG-63,10710,7.943282347242816
AZD6244,COR-L23,3499,7.943282347242816
AZD6244,TE-15,10243,0.954992586021436
AZD6244,MCF7,1087,7.943282347242816
AZD6244,KMS-12-BM,9138,7.943282347242816
AZD6244,LP-1,7326,7.943282347242816
AZD6244,FU97,9578,4.36515832240166
AZD6244,AsPC-1,2828,1.2589254117941673
AZD6244,NCI-H2122,10287,0.6309573444801932
AZD6244,CHP-212,7278,0.01148153621496883
AZD6244,AU565,6934,7.943282347242816
AZD6244,NCI-H211,9758,7.943282347242816
AZD6244,ESS-1,2412,7.943282347242816
AZD6244,JVM-3,1044,7.943282347242816
AZD6244,EFO-27,7168,7.943282347242816
AZD6244,KP-2,2345,0.40738027780411273
AZD6244,OE33,6658,7.943282347242816
AZD6244,SK-LMS-1,2920,7.943282347242816
AZD6244,NCI-H1650,6179,7.943282347242816
AZD6244,NCI-H520,6958,7.943282347242816
AZD6244,IST-MES1,4315,7.943282347242816
AZD6244,MOLT-16,3242,7.943282347242816
AZD6244,SNU-423,1895,7.943282347242816
AZD6244,SK-MM-2,6614,7.943282347242816
AZD6244,NCI-H727,6084,0.40738027780411273
AZD6244,SK-CO-1,3852,0.933254300796991
AZD6244,KLE,4200,7.943282347242816
AZD6244,VMRC-LCD,5296,7.943282347242816
AZD6244,TE-11,4805,7.943282347242816
AZD6244,NCI-H2172,8320,0.0025703957827688645
AZD6244,DOHH-2,6012,7.943282347242816
AZD6244,COLO-678,1527,7.943282347242816
AZD6244,NCI-H1869,3126,7.943282347242816
AZD6244,EM-2,11242,0.3801893963205612
