Compound,Primary Cell Line Name,ID,IC50 (uM)
17-AAG,JHH-2,2627,-0.9
17-AAG,SNU-387,11094,0.47
17-AAG,G-402,6280,1.13
17-AAG,TE-1,2767,1.13
17-AAG,AMO-1,4678,1.59
17-AAG,NCI-H1155,1443,0.93
17-AAG,HT-1376,3134,0.44
17-AAG,HCC70,3881,1.19
17-AAG,TT2609-C02,10646,1.13
17-AAG,SW620,3813,1.41
17-AAG,HT-1080,8865,0.94
17-AAG,RPMI-7951,11183,1.8
17-AAG,NCI-H747,4395,1.08
17-AAG,NCI-H1355,3553,0.98
17-AAG,MKN7,8419,0.0
17-AAG,SNU-475,5902,2.59
17-AAG,CAMA-1,4901,0.85
17-AAG,NCI-H1651,4607,0.61
17-AAG,SNU-398,3859,0.26
17-AAG,NCI-H2452,8046,0.83
17-AAG,T98G,9260,0.81
17-AAG,GI-1,6324,0.7
17-AAG,SW48,10953,1.83
17-AAG,NCI-H1793,4749,0.62
17-AAG,NCI-H2023,10343,1.63
17-AAG,NCI-H1975,4208,1.25
17-AAG,NCI-H2228,1951,0.95
17-AAG,HD-MY-Z,7245,0.82
17-AAG,NCI-H1092,5327,-0.9
17-AAG,CAL-85-1,3019,0.76
17-AAG,NCI-H1944,542,1.58
17-AAG,C32,8070,2.18
17-AAG,RVH-421,5067,1.13
17-AAG,MDA-MB-436,2604,-0.9
17-AAG,KYM-1,1582,1.05
17-AAG,RERF-GC-1B,1695,-0.29
17-AAG,MEG-01,8674,-0.02
17-AAG,COR-L105,3321,0.05
17-AAG,HCC1954,6783,1.32
17-AAG,HLE,6989,0.2
17-AAG,NCI-H28,96,0.83
17-AAG,KYSE-70,5813,1.22
17-AAG,HCC1806,3158,1.17
17-AAG,A172,1302,0.57
17-AAG,UACC-257,7516,0.75
17-AAG,TOV-21G,7037,1.71
17-AAG,NUGC-4,4256,1.7
17-AAG,KP-3,9766,0.78
17-AAG,SK-MEL-30,6092,-0.9
17-AAG,TE-9,2860,1.06
17-AAG,SK-N-FI,10136,0.0
17-AAG,EN,7633,-0.9
17-AAG,SU-DHL-8,934,0.93
17-AAG,KYSE-520,2139,1.1
17-AAG,Calu-3,9355,-0.23
17-AAG,HARA,10000,0.67
17-AAG,DEL,9470,1.45
17-AAG,8505C,6895,0.55
17-AAG,KARPAS-299,9978,0.68
17-AAG,HCC1395,2466,-0.9
17-AAG,COLO-679,9930,1.2
17-AAG,SUIT-2,357,0.19
17-AAG,SJSA-1,6344,0.51
17-AAG,J82,3530,0.54
17-AAG,JHOS-4,1279,-0.2
17-AAG,NCI-H661,4000,-0.9
17-AAG,SK-N-AS,9789,0.41
17-AAG,MDA-MB-157,7840,-0.9
17-AAG,SU-DHL-4,1808,0.62
17-AAG,SK-MEL-24,2,0.76
17-AAG,A2058,518,1.37
17-AAG,EBC-1,2510,1.73
17-AAG,KYSE-180,251,1.12
17-AAG,OVTOKO,230,0.09
17-AAG,SUP-M2,2721,1.01
17-AAG,SK-LU-1,5766,1.45
17-AAG,CAL-12T,498,0.74
17-AAG,A2780,5091,1.51
17-AAG,MSTO-211H,7061,0.72
17-AAG,NCI-H522,9906,1.1
17-AAG,IGR-37,8794,-0.9
17-AAG,NCI-H647,1398,0.83
17-AAG,ACHN,10765,0.17
17-AAG,NCI-H1563,9213,0.67
17-AAG,HuCCT1,3928,1.04
17-AAG,LCLC-103H,5972,-0.56
17-AAG,MOLP-8,4535,0.49
17-AAG,OCI-AML2,4654,1.05
17-AAG,MDA-MB-415,8982,1.74
17-AAG,T84,10622,0.27
17-AAG,GCIY,6852,0.1
17-AAG,RD,7423,0.93
17-AAG,CCK-81,6390,0.58
17-AAG,MFE-280,565,0.68
17-AAG,OVCAR-8,2023,0.84
17-AAG,OVCAR-4,11315,0.34
17-AAG,ONS-76,9190,-0.19
17-AAG,UACC-62,2070,1.2
17-AAG,SK-N-SH,3905,0.63
17-AAG,MDA-MB-453,9954,1.81
17-AAG,KU812,5351,0.89
17-AAG,GRANTA-519,5210,1.96
17-AAG,OV-90,9607,1.73
17-AAG,H4,9100,0.82
17-AAG,KCL-22,8281,0.97
17-AAG,CAS-1,9882,-0.01
17-AAG,SUP-T1,752,0.34
17-AAG,TCCSUP,11139,1.33
17-AAG,Saos-2,3086,0.67
17-AAG,SF126,10366,-0.09
17-AAG,Capan-2,8142,1.34
17-AAG,SK-MES-1,5746,1.57
17-AAG,KALS-1,1535,1.05
17-AAG,HCC-78,4854,0.1
17-AAG,NCI-H1792,6503,0.99
17-AAG,639-V,5234,0.82
17-AAG,NCI-H2009,2556,0.73
17-AAG,RT4,819,1.23
17-AAG,RKO,4024,1.12
17-AAG,huH-1,10091,1.47
17-AAG,NCI-H650,26,0.51
17-AAG,TC-71,8118,-0.14
17-AAG,KELLY,11249,-0.35
17-AAG,LN-229,10438,1.21
17-AAG,A549,728,1.18
17-AAG,DBTRG-05MG,3202,0.56
17-AAG,MDA-MB-468,6020,0.44
17-AAG,KYSE-410,1326,0.57
17-AAG,HT-144,3952,1.1
17-AAG,SK-HEP-1,9541,0.64
17-AAG,MFE-319,3042,1.1
17-AAG,SW1417,6459,1.16
17-AAG,SK-ES-1,8257,0.25
17-AAG,JHH-7,4810,1.05
17-AAG,HOS,8958,0.86
17-AAG,JHH-6,10505,0.65
17-AAG,NCI-H1915,4323,1.45
17-AAG,QGP-1,7380,0.85
